run-id,crop-id,sim.json,crop.json,site.json,climate_data,climate_model,climate_scenario,climate_region,start_year,end_year,groundwater-level,impenetrable-layer,elevation,slope,latitude,sowing-date,harvest-date,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3
1,SM,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,historical,germany,1976,2005,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
2,SM,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp2p6,germany,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
3,SM,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp2p6,germany,2070,2099,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
4,SM,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp4p5,germany,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
5,SM,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp4p5,germany,2070,2099,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
6,SM,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp6p0,germany,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
7,SM,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp6p0,germany,2070,2099,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
8,SM,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp8p5,germany,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
9,SM,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp8p5,germany,2070,2099,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
10,WRa,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,historical,germany,1976,2005,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
11,WRa,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp2p6,germany,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
12,WRa,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp2p6,germany,2070,2099,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
13,WRa,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp4p5,germany,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
14,WRa,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp4p5,germany,2070,2099,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
15,WRa,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp6p0,germany,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
16,WRa,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp6p0,germany,2070,2099,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
17,WRa,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp8p5,germany,2021,2050,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
18,WRa,sim.json,crop.json,site.json,isimip,IPSL-CM5A-LR,rcp8p5,germany,2070,2099,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
19,SM,sim.json,crop.json,site.json,dwd,,,germany,1995,2012,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
20,WRa,sim.json,crop.json,site.json,dwd,,,germany,1995,2012,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,auto,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
